loss,epoch,val_categorical_accuracy,categorical_accuracy,val_loss
16.36281586,0,0.0091,0.045600001,13.45104694
10.58615208,1,0.112300001,0.101549998,8.779484749
7.542544365,2,0.178499997,0.160575002,6.289355755
5.879175663,3,0.244800001,0.228174999,5.086654186
4.95215416,4,0.288899988,0.281174988,4.351559162
4.384841442,5,0.344000012,0.333624989,3.73846364
4.028232574,6,0.440899998,0.380275011,3.171476364
3.767049551,7,0.518599987,0.422574997,2.780920982
3.579507113,8,0.585600019,0.460824996,2.478234291
3.475256681,9,0.609600008,0.48892501,2.380110025
4.013885498,10,0.2509,0.318275005,4.176190376
3.730333567,11,0.308999985,0.356950015,3.597403049
3.559477806,12,0.317799985,0.379025012,3.423748732
3.459728479,13,0.432399988,0.396649987,2.752622843
3.381456614,14,0.366299987,0.411949992,3.092889071
3.314541817,15,0.298900008,0.427074999,3.614156961
3.261906147,16,0.401600003,0.447625011,2.956176043
3.199162006,17,0.441199988,0.460649997,2.762133598
3.142423868,18,0.371600002,0.474274993,3.085920095
3.06356883,19,0.505599976,0.489950001,2.446197987
2.999715328,20,0.498899996,0.50712502,2.470584393
2.907961607,21,0.570200026,0.529950023,2.126586437
2.819984913,22,0.595300019,0.551199973,2.050980806
2.71306324,23,0.618700027,0.573525012,1.937068343
2.60999155,24,0.654900014,0.596800029,1.785771728
2.508753061,25,0.690999985,0.619424999,1.60630095
2.397139549,26,0.728600025,0.647849977,1.505473495
2.299705744,27,0.7403,0.674075007,1.407747984
2.238076687,28,0.756699979,0.689499974,1.361234188
2.204228163,29,0.762199998,0.698374987,1.345807672
3.414242983,30,0.291000009,0.419450015,3.874408484
3.390304804,31,0.384499997,0.450899988,3.303644896
3.366918802,32,0.238499999,0.462500006,4.268658638
3.342211246,33,0.433699995,0.469675004,3.001110077
3.334723711,34,0.421999991,0.472600013,3.089729071
3.318076134,35,0.391200006,0.477724999,3.241168499
3.309135437,36,0.422899991,0.482775003,3.092767
3.288895369,37,0.460099995,0.486750007,2.919001102
3.267854452,38,0.505299985,0.494399995,2.670053482
3.257514,39,0.511099994,0.498800009,2.663160801
3.232410431,40,0.439999998,0.50287497,3.033862829
3.210783482,41,0.456999987,0.509824991,2.925751686
3.187363863,42,0.477999985,0.515675008,2.843982935
3.165014029,43,0.500999987,0.519174993,2.795348406
3.13938427,44,0.512899995,0.527125001,2.65931201
3.106792212,45,0.465700001,0.534974992,2.850642681
3.077387333,46,0.533100009,0.541575015,2.588523149
3.035094023,47,0.508000016,0.55035001,2.717278719
3.002677202,48,0.495700002,0.554799974,2.687462807
2.951012373,49,0.562600017,0.569724977,2.413906336
2.903310061,50,0.521600008,0.579275012,2.590346098
2.860069036,51,0.609399974,0.583824992,2.213905096
2.80718565,52,0.427300006,0.593550026,3.197488785
2.745984316,53,0.615100026,0.615400016,2.210086107
2.69217658,54,0.642700016,0.621975005,2.065792084
2.627007008,55,0.603699982,0.634675026,2.229896784
2.566695213,56,0.648199975,0.646574974,2.020111084
2.498022556,57,0.629400015,0.660350025,2.123486042
2.42542243,58,0.709599972,0.675575018,1.755496502
2.34724164,59,0.703100026,0.689999998,1.768573403
2.272224426,60,0.7324,0.708649993,1.64141643
2.186565638,61,0.735599995,0.725425005,1.611916065
2.110704899,62,0.75910002,0.744125009,1.525511622
2.047075033,63,0.756299973,0.752699971,1.501918316
1.981329441,64,0.773500025,0.766149998,1.448940396
1.924054265,65,0.779500008,0.779524982,1.416931987
1.881901026,66,0.784500003,0.786650002,1.38997674
1.851113319,67,0.792200029,0.793299973,1.36359477
1.830059767,68,0.792999983,0.800100029,1.351317525
1.818578959,69,0.794399977,0.801675022,1.347994208
3.568299532,70,0.254200011,0.432525009,4.527500153
3.469966412,71,0.422399998,0.482650012,3.307629347
3.434310913,72,0.427100003,0.501975,3.312903404
3.411187887,73,0.487800002,0.506425023,3.035283566
3.407080412,74,0.419999987,0.506574988,3.388257027
3.38778162,75,0.344900012,0.51412499,3.786287785
3.3807199,76,0.307099998,0.512899995,4.248655319
3.368524551,77,0.483099997,0.518700004,3.045680761
3.368978977,78,0.403699994,0.511650026,3.483841896
3.359718084,79,0.477899998,0.514150023,3.061682224
3.342861652,80,0.3926,0.520500004,3.480021477
3.352602005,81,0.488299996,0.519349992,2.998951912
3.338543653,82,0.463800013,0.524824977,3.110485077
3.337418318,83,0.3935,0.523100019,3.507263184
3.327634096,84,0.403600007,0.525574982,3.369664907
3.326885462,85,0.446099997,0.523450017,3.279144526
3.308254242,86,0.444999993,0.530300021,3.311685562
3.305299282,87,0.465700001,0.533599973,3.113919497
3.291228533,88,0.461600006,0.533900023,3.15081954
3.278528452,89,0.494700015,0.539300025,3.03228879
3.276533842,90,0.435499996,0.536000013,3.331519842
